1/1 test "expNnWindowed"... [default] (debug): i=3, yi=47549
[default] (debug): j=52, z=14216638779248750810516581030790270716696652611676139033870398169158608292049887139834972937756197695497897615811879730753, zz=12277994212348114493824462024192050374093808439262849598999965665345981421691179378413545663171479945132271350433871132946
[default] (debug): j=56, z=6751851553016917575209513486593926897796357638728509400147005458232329173930471385995852933825931808761923602810300272011, zz=1354600727594389002694595290760984128773111783944399981375038416163413193036189640797229218513013740962609376295072194647
[default] (debug): j=60, z=7803474321795425925868139439436652285349945450194304780192432041755695137132184822588762183902471930306422956798639772611, zz=22431967653778242323169840926760399905824625723896562661411153564333607587079577949652184352940214645653556221076670426431
[default] (debug): i=7, yi=12722663589183225557
[default] (debug): j=0, z=1, zz=0
[default] (debug): j=4, z=2048, zz=0
[default] (debug): j=8, z=95780971304118053647396689196894323976171195136475136, zz=0
[default] (debug): j=12, z=3640110038508942617258177831325110088936596377853759129836379498169454379302297663512756663908965228954227129479337974905616832683893200017979496768389633578633520588433693139955829591095752191169672060290952147411201901956893723761957926399020292155040351267019101621840990507874588428169359283845815260438959224500394841681965077550698444909850025001987570399011865717096920534182041964882041180997447330321783180797144954936801396542644575070728227691869583039330889574884582091967644805346760715082800911420421041304835725101089437738609732113837666820637401812266888778228069045560907005521442912712911623929932, zz=170
[default] (debug): j=16, z=14905607559350525727029016587249092837900670124420563160999496440474212594974477157616021451495127846898229723275826245616017585764577912144280236668502852818148594645437636055309947740304357403142697797416811843207403474993737339762251277861888821881952967174826865847305359852851639252473905058458470419037619740612913094318654565144982516350567826096172879420943027954621599173127001911601164811691791579535073399216410637055207950378393141014627522100913838580424728539365355297393510418080623340479056782700527045868282993355310800789334517670130240553705657635963410871056235056924179862296011233199627457849702, zz=27189
[default] (debug): j=20, z=5076863052005273205583645389009628518634374740825453547885376039661085273729647778955229350108466871557952595001539287691031347304760971624535686525360311641147754354921383189990343194270991088568470475947464880235304330368530512309042146080342763997347304406065398623703473494756570346143862456491972201764483169647642296152009889417309086698996344075086275410819372448584631600269832747968947774524421625253353703458627964049840351002898255187774151754109574955063225154174772165592684192974692874844883027461033390123453753141505548966671469935518760364815894264418710358220959175703051861146278094425278411428134, zz=10069
[default] (debug): j=24, z=10019168349276778894818208477861521757540417749731768759210479023349947440242385799450393887406898134245920391849762936954220758340277829143101133859453029478282767841507025894077738185659229362115444440437021228678756642408893101945046392346743582565472437207288408630453642179940850318871422087787579412681383777450801292102623935103724894609192312565363705915030110911840233279794392172396933323745726349615636456897595513606197118190432903475159276534997476887422217722674254285573054634564214293085603268718276512543730153220874587273372582004499905305266985233936981105077602155054996254400542305310804393361844, zz=1878
[default] (debug): j=28, z=2604776262115037648163545688259612072572877344507467701388727532700703766734512325688414538300358117940132783339747562481072327176156405033330461995304656273894109922090275266790490961639155913926360430930789024457187828138867298486240491375641224204559133146215780738758278461875717620202861361138306255656857919745722071887069392616185149044467612999695422114052563359847836944133113732135850432979526086720148130572585027661909981663333107132441344773731105317969871978574055921334797017003472147351723046655353350944185910561990724534686870276038908128772090555688337458458354155571080447822419806887495007375838, zz=1
[default] (debug): j=32, z=16891391215652166064760642598554696942096437231834390849946822131383777941439453536451024276783909941820681290778148759838864989650005147525970595566476964274650430357371843382336830117946448646243247397702836442617739262013873630841806134426516709926844803091583180729446846122131726881005073809387805561622194114429079821097466397816926977467205727869781912458160508916300949089232110213323940731924393669399052128318087341891629741988716430126534402203300288443253101370398882557680374772163705930408042255591259351882328887536170964572483002049621301039414555711725675019267709603974257283348867967749715082021926, zz=0
[default] (debug): j=36, z=12500002232903828353562367836069303305437204420507276826620009157637809121432026540486081301615582348859423967299457557621671451007049271716707401611792797451235448453184204965320570227942185731188012975597614751026932618718316931979120571959014393107112062529511347661218635867111503590931309318339855069151305508817183647768680444111172568034443041358540002357361720187599603714758397067412387886594699293562161664704367773574551402916284257409053993876250876227560874349239801972562604580491161323948319792742954432087596448722338522662534909179480590994366071224015797402994832935213299090203648101455750105288972, zz=74
[default] (debug): j=40, z=12276160965723191293125031921892889167853605839603375837418806162037296860126419894283519279650941502231670556655301268920155850812468350687611669764220617826487068565629207898904857502465680012897588252004770684388247540348060010420665130412422018530569696773550757840409779709484594898289849654600598869059878046753271023218529513980812024681447899821274595772975702585938368995702210849194374859988038521798749682640500347211371942453774579415405279103122508760971764328448567187419434479446254286470368286461147962577136745099681601235936501439489827054347300169085367028388111656066445646672512517347941756335208, zz=44
[default] (debug): j=44, z=6722874104408044852286925981627916919906142125218576222331203738560827940501160835480162137186796876790444355518028655997373136672995323441180587709751175200615739702769325750175142391903703083906389729954947374024900786465268888528687864101340502009522730343493317414147045931619816692644128163659835858145669339123348420628952487826114869875097513558859354841061093255062880839879204446767314925285963139763506961375053311040048410692876428449642180186510676295975354651584803917625896791017529837158039604115037928609819263225066798786382171259895528635723485049611632625968640422137769585700575546881766271382052, zz=0
[default] (debug): j=48, z=7605042512745850605581698679968141148946846584000080261061183725234318087329314831918538323489257871040867450180779104127710896073314876120464708927442686330899975010607901888971158521927824565086919757261081206985557096117343993646504004691396757127234765918922987285640526030364830133793380546957854417476547642483719996903166432588855041268488291905188824461943861946520121085394662601437015493892187365688492800090544147152311600265040854327031741417043578321275561657254249662658984405794905686279607668139777340922198773916688592449468975195714326825170614206507931147511683708394771767984642454195410979295336, zz=25644
[default] (debug): j=52, z=11820688739165535834089360704209873052417007863747631022169561757861081646954599086226877455308688470806375584870884996521117567134382216763367085972742115632735118504978561098228790581767992507177393343632958342934522543053309839264208881709365985728602538981174865555814009967509670817176258951042466791551068624488673731123013735184213718033632843969218897188449938708203668644850501649158230267578222871937449138901290672532781790291512277953663449129757206721785895450265833833946576641986479148396490084376580104953510781106841331349272964393148003375425248108520371616201320251961808874373353725486321209791460, zz=16766
[default] (debug): j=56, z=17098271213101138405062116545092208327227576612003686163832389240189526351485636519211923618521919749629953541386434242348491437425851456024268060850641501888962793301427684923172058541911578833408594555579714404004476629456304997811179801397603580821981902989758635712985526234532663392746364524470024145333638247933560160809343059848096482283972117889668486023653160879597123532594359179105095049409425668271920322449239483644362267146770655902429366998337784535936576708214437347952391709344713396130117279175586333786406602171478832845779443271629596906675723762364765254517068747350287267291103961879535991211802, zz=7051
[default] (debug): j=60, z=8909576846078127763729948807557241628270757010378984037235523385763459774052324221426895960579547175787925919405318915969241490570056385509216584932481201210588856595269968773490234461791984297644901403526295919686445987359785051953848935513510859464992470423601935752558091463906203838046496983076934571903523593022819803333799057585499117546274138285473145843260681188543502048929655904685448429336189934922720605778379406823082320849675849262076291565554846160825751169726021173903573055184962636621282083273714586621958589390228794469575467406577709246555858722154913317914387853674755811476122467243647752843374, zz=4241
[default] (debug): i=6, yi=10353116308777147095
[default] (debug): j=0, z=2836646595934996866960592694888726336389302223341830269313610923460341273557872357020905548197274988957109133906267822405048666273995469652727200671221924389728275967497929100575187973850970808061249457808030966479710862247337887633024324603229625861785376656026445110449270903858920801950852201876623399912877480923101267408712324997616497598798745874419746944590363847004767837734151907956142643815303767958908707356081734655576623221434798712091306141317710472558377856763620665290519593802766173662297178099600469611405712080278267718635151309049947039318337762399087783755268289504040790368526106854332331923196, zz=18
[default] (debug): j=4, z=13990330531004281768518078816999738056042873427851031125720606360254765573340877111243343051723620072549419538005707413077463613506620277975675326376186995670268329266420706162298933336673964016415473479897999381107268543669204273541943531254947794039115984210921670012662893701233329750284717807908034247415232127634411568672667202950921631764140867207078100463990560343013796887611558569323794474195108510506737492975628887255056563200966200594358270704875297596623326169171840624902035084309831288247326435077617606323372163196877094444063739447749446078917960343763738851204753877164377049291852598026399211020154, zz=219
[default] (debug): j=8, z=20964711587626254916510304120135538256281343315198874366615225523210346909368493843699890662252406970068866740227417711269516651054493316941237210523943644457927595525729264769546781599119057169996442635405607674375358856726004195305404025195590487242533356943816358480429897309693098602909083890288234554044653569391762734278123437515332088994340663780599225646656124209918911020932674320820184987750332999504635704175752981922414633516573858107221398528040182321475597104893797202082963293397682951887429132053011963117252578029817184997020608621325579668787875109873944729241914458275999410948486885716201742940452, zz=10718
[default] (debug): j=12, z=16346954606006794848666051007369938666971521247894943488343909523724818801529900343657163574016625281266693007807113781651021883622061686858167229077228524400764055300118801998340064139206616876197555275923646681302322340194479977163246633053519997037368740539681976461556993023692002061120347694320363249187296631403905931227081495758230744957598509250836116929573633637880156227442246537911943216439046220598556126387722907572093815772301717475265715811567557516910660954786152847762953988847225525338897091394772041303302912315943176997793852524260151619578564782847516197245154803383989721595843859911334362143454, zz=409
[default] (debug): j=16, z=17109523596191769741744651903271227373008719308782344881210932868698536412161248409035994907038364425380177060272639635588333211317303665930043272906606092015466339186745477999404558155739787465740442689685388845358646931535202664847022576297628690055125745149045191541694226875610134889106153022443768538594589803467297269068018572877537234885974795964194143962781694064092275786349300459561286333420771670342954638963399898239325394586616958364202624951453402974731666964521321552942548579879545280941985033176826097659222425829462152236166801365860383397896007601400527011691928634272553172387992747311019992093956, zz=5230
[default] (debug): j=20, z=9812891595712822172542554660231329518139037868214716919357373812166445422669397564845936526702794199067213055526287562520383121998215162064586879984698973106626401838832140986428697455521517086794644220263298848868926047930032957159354041324801477901407020337139859889809003036812077224447175655303083676663701980259735812774048171151900477504970300965788442207212650397841409644191311467736460073867594559189196729532191324126104076237229372009371009527697521362070725015821528669884538119403644059186583434796588612577652026506738539264655227114237821492492835542783702889050218711132675265625369515663625467203244, zz=762
[default] (debug): j=24, z=19010159393029652816148822917577423341060404440063896881502535549024352324149555406859098824877591842752753008026063844480137628426921314197948154573980818684110058562685936024791780908779626289707686853524205397009338063382971585861087772368370015440470127322717447227405142592687224343137661408972434769852924706301851573181057333448217246621201061327278235778461246915392828862076011862159413304461833033240237013735346732221921648990258951300504881866625572357726112247610083617911145731389870916320009545439376773736390838270018376356534832911126473953593610725614457882823622594355710392958524222060360337326154, zz=51
[default] (debug): j=28, z=19443671102498119370289401536880863486624595384658122411438972031659531283640264850805386249874362277860288958967176553998617234723044008013136166724185870505626944857458566244177681426990174529030268704743561763926076885904482890786288468856135496483218757407972966614915386614954070991972037573180926166117281813159023684084536596078666719052879740295063787351571037770521418718004534888673233164667094719212024362571191918109578616132695921066464116430389519842383506038287916693555977451574537996693412667929893453883755988434272433969222051630340688407796752306285194152363793153029998999217668016400137162113288, zz=28
[default] (debug): j=32, z=8271015403139459851697585140053306876981863668438406358725025463531149745058600116759157476023196158456833262219119086611359410421456511743542361816331094185619204685162064448607080624476019682013010876830778052408998444813515214773713656608195858767572800320968661432885223912512278639334713771212808404351644916356417293863753556814487381318522736331911009835646982428763927596528975191919642551605114617848354659454941572204162605532540878738445336083954902308368057154909500953188153357356980638517656801027601941440695656702790063662445868581865920287465757382157511240056564121256974855725691310373117797523480, zz=404
[default] (debug): j=36, z=19800204101015037063041128791890894805242836144214990625085780504620091281017601108587944316880573783288192320548940648520332963451276438949326639945941166915037833739321779735697424069632396637189303927210357097379296209974528483065742347528670163308642131707234034195991873998601496259507909177128918992537493901601757988020186461988384140745481903883834600268273739345485405303334428791101169456078833619907410787137547603086014691259211336686844741135024481393797274903578065074025374489924262131729116481304238810140568328542444034254263892305869833262270389084880572246258480232372093774659693542307267183906712, zz=19412
[default] (debug): j=40, z=10972579975378075584159248328568712742366347515307341923027744455180938936418047674655349361827308023228993346575314661355453444762049934486824872394272262213114766157772686184568639984794566968734253437115404703988478228969905281247827053320596117972501294643369780400605318904520133074799910102866274175207157372252270517896207583139204183720551132770146867446055385973710045776788252401579525383585459126935701214287436993224286439581735506560149497579686135045845598163842691409428151587856563300517740406125351093274144766457384554982899431911394442623704846970651726513984061136060046753475890078166857579770900, zz=13478
